"","fvegHW90mask","bird90","mammal90","reptile90","aetfeb_90m","cwdfeb_90m","pptfeb_90m","pptdjf_90m","pptjja_90m","tmnfeb_90m","tmxfeb_90m","tmxjja_90m","tmndjf_90m","longitude","latitude"
"62",5,207,53,15,44.1399993896484,0,124.120697021484,124.763198852539,2.2846999168396,8.00069999694824,15.7876996994019,20.3376998901367,7.21120023727417,-217795.15989623,-17259.4919187655
"63",8,203,52,15,46.25,0,166.442001342773,171.392196655273,3.36069989204407,6.97669982910156,15.1556997299194,20.2029991149902,6.53200006484985,-222334.043762546,-16350.01459513
"64",15,198,42,14,40.5499992370605,0,167.401992797852,160.253997802734,1.72720003128052,6.41400003433228,15.6337003707886,25.6991004943848,5.64300012588501,-218930.23313721,2064.3874508366
"65",2,199,55,15,43.0833015441895,0,146.473007202148,166.669403076172,3.29130005836487,7.52400016784668,15.5220003128052,17.581600189209,7.06479978561401,-244789.457380509,-1514.03194292169
"66",7,204,52,15,41.2999992370605,0,166.017700195312,170.407302856445,3.32459998130798,7.33699989318848,15.5706996917725,20.6840991973877,6.79400014877319,-222544.16985632,-14185.9938694122
"67",15,135,61,19,40.2346992492676,0,144.686004638672,144.930206298828,4.00479984283447,2.89669990539551,14.4036998748779,32.7727012634277,2.34130001068115,13935.8091701381,-38959.5915461597
"68",15,167,50,17,42.9080009460449,0,153.078704833984,152.963104248047,3.51620006561279,2.13669991493225,14.0979995727539,32.3763999938965,1.52890002727509,3434.25318830116,-57390.625348316
"69",15,147,57,20,41.9492988586426,0.294699996709824,127.488700866699,126.72989654541,2.97810006141663,2.875,14.2923002243042,31.4911003112793,2.36400008201599,-516.61979516169,-45656.7221485437
"70",15,141,60,19,37.1257019042969,0,166.328002929688,167.556594848633,3.99539995193481,1.38469994068146,13.0333003997803,31.0970001220703,0.907700002193451,7060.20709540638,-51260.9429962905
"71",15,124,64,17,21.7637004852295,0,168.747299194336,174.001907348633,4.96960020065308,-1.25629997253418,10.8043003082275,28.8204002380371,-1.09599995613098,25183.1812482617,-32541.1552038635
"72",15,116,59,13,9.49730014801025,0,223.195297241211,214.011199951172,8.73480033874512,-3.09330010414124,8.69929981231689,24.9972991943359,-2.71630001068115,52748.7540127773,-76494.5345564242
"73",15,116,59,13,5.65899991989136,0,214.723999023438,206.447799682617,8.5383996963501,-3.27769994735718,8.31929969787598,24.4885997772217,-2.88439989089966,53858.1208771686,-76863.2203600314
"74",8,156,52,18,38.1613006591797,0,211.789703369141,225.546005249023,4.01429986953735,4.67329978942871,12.4193000793457,28.5624008178711,4.16260004043579,-257655.978173333,102760.307649512
"75",8,160,52,19,33.7703018188477,0,182.952301025391,192.581207275391,3.06970000267029,3.24370002746582,13.2777004241943,30.7189998626709,2.7878999710083,-260020.580464669,121113.004289849
"76",15,171,46,17,39.0709991455078,0,187.445297241211,185.093597412109,2.20679998397827,4.35900020599365,16.362699508667,31.3304004669189,3.51999998092651,-218344.27020703,61006.2684907722
"77",5,172,44,15,40.1889991760254,0,135.381301879883,132.920394897461,2.30139994621277,5.15570020675659,16.6783008575439,28.612699508667,4.2613000869751,-196822.468725915,31621.3038605591
"78",11,171,46,17,39.600700378418,0,187.181701660156,185.05940246582,2.20930004119873,4.35129976272583,16.4452991485596,31.3736000061035,3.50880002975464,-218366.968351471,61465.0056076138
"79",7,162,48,19,36.8872985839844,0,215.80729675293,241.069107055664,3.7820999622345,4.47629976272583,13.8043003082275,29.7840995788574,4.21260023117065,-225833.644884139,77244.9943295657
"80",5,173,45,15,41.298999786377,0,138.343994140625,138.27360534668,1.73000001907349,5.21999979019165,16.6490001678467,28.3572998046875,4.33580017089844,-199730.712387456,33661.3360373927
"81",7,174,47,18,39.5862998962402,0,197.048294067383,198.649398803711,3.04809999465942,4.27570009231567,13.673999786377,29.3383007049561,3.92000007629395,-212578.63082879,63370.9741489333
"82",15,170,48,19,38.1189994812012,0,153.006698608398,160.720794677734,5.47200012207031,4.49370002746582,16.0883007049561,34.2291984558105,3.67510008811951,-102960.959589121,142396.16537814
"83",15,141,56,22,34.0320014953613,0,192.160995483398,205.945098876953,6.50040006637573,3.66969990730286,15.0012998580933,33.203800201416,2.91319990158081,-94569.0929320709,142361.406206775
