"","fvegHW90mask","bird90","mammal90","reptile90","aetdec_90m","cwddec_90m","pptdec_90m","pptdjf_90m","pptjja_90m","tmndec_90m","tmxdec_90m","tmxjja_90m","tmndjf_90m","longitude","latitude"
"31",11,170,50,18,16.2007007598877,0,147.146301269531,149.509994506836,2.64019989967346,-0.314000010490417,12.7229995727539,31.8278999328613,0.115599997341633,-224151.835786525,103887.300373116
"32",15,163,49,19,16.3010005950928,0,154.878295898438,152.966995239258,2.54320001602173,0.415699988603592,12.2829999923706,32.219799041748,0.891099989414215,-243347.741396523,114929.953181881
"33",7,158,54,19,21.7943000793457,0,257.603698730469,233.11799621582,5.80819988250732,2.79769992828369,11.2740001678467,30.1177005767822,2.55259990692139,-258453.330789403,147183.589665459
"34",8,163,48,19,19.7509994506836,0,177.961303710938,179.49870300293,3.21720004081726,2.32200002670288,12.3599996566772,31.0492000579834,2.54909992218018,-237258.130324528,108456.881188753
"35",8,164,53,19,39.5077018737793,19.4342994689941,63.5157012939453,100.843299865723,2.22029995918274,5.56199979782104,19.0540008544922,31.1802997589111,6.01980018615723,203389.70167394,-429310.232191576
"36",2,167,50,17,38.9766998291016,22.75,50.5870018005371,82.8741989135742,1.69589996337891,10.8007001876831,18.112699508667,26.5400009155273,10.5740995407104,151059.550629702,-471594.877782412
"37",5,207,53,15,29.2229995727539,1.1492999792099,121.072700500488,124.763198852539,2.2846999168396,6.86499977111816,13.9512996673584,20.3376998901367,7.21120023727417,-217795.15989623,-17259.4919187655
"38",15,204,50,15,28.1443004608154,0.378699988126755,181.391296386719,180.014007568359,2.02509999275208,6.09899997711182,13.6187000274658,26.9230003356934,6.37939977645874,-217463.320581848,1136.23604159942
"39",15,198,42,14,26.0266990661621,0.458999991416931,158.38330078125,160.253997802734,1.72720003128052,5.32070016860962,13.3066997528076,25.6991004943848,5.64300012588501,-218930.23313721,2064.3874508366
"40",5,171,50,17,25.9829998016357,2.33870005607605,122.018997192383,132.963195800781,3.3814001083374,1.98370003700256,13.7397003173828,33.1511001586914,2.43939995765686,-10531.5063375602,-49747.6671452825
"41",2,156,53,17,21.4729995727539,0,203.246994018555,188.418899536133,4.00719976425171,3.46199989318848,13.8147001266479,28.8421001434326,3.91280007362366,-300204.882437377,123509.308913968
"42",15,167,50,22,27.7383003234863,2.61129999160767,104.902000427246,111.391799926758,0.719600021839142,1.43669998645782,16.9060001373291,33.6363983154297,1.99430000782013,-133333.106345349,-196848.453136428
"43",15,173,49,22,30.9062995910645,1.98870003223419,155.27229309082,172.873397827148,1.1246999502182,2.92630004882812,15.0177001953125,27.7117004394531,3.37969994544983,-125787.538162087,-222744.878746168
"44",15,173,50,22,30.6193008422852,1.00899994373322,177.869003295898,198.100799560547,1.47930002212524,2.08730006217957,14.8950004577637,30.8160991668701,2.81100010871887,-131720.96218877,-209875.989415579
"45",15,175,46,17,25.7036991119385,0.089699998497963,230.488296508789,218.907592773438,3.59660005569458,4.20900011062622,12.1750001907349,29.3913993835449,4.5479998588562,-219749.171115771,58944.1269890587
"46",8,156,52,18,24.6912994384766,0.061999998986721,258.109313964844,225.546005249023,4.01429986953735,3.69230008125305,11.5389995574951,28.5624008178711,4.16260004043579,-257655.978173333,102760.307649512
"47",15,171,46,17,22.5020008087158,0,185.852294921875,185.093597412109,2.20679998397827,2.92729997634888,13.9630002975464,31.3304004669189,3.51999998092651,-218344.27020703,61006.2684907722
"48",5,172,44,15,23.7527008056641,0.505999982357025,132.328994750977,132.920394897461,2.30139994621277,3.77870011329651,13.96399974823,28.612699508667,4.2613000869751,-196822.468725915,31621.3038605591
"49",11,171,46,17,23.077299118042,0,185.763000488281,185.05940246582,2.20930004119873,2.91969990730286,14.0272998809814,31.3736000061035,3.50880002975464,-218366.968351471,61465.0056076138
"50",11,171,46,17,22.1606998443604,0,188.069000244141,186.8876953125,2.49020004272461,2.90429997444153,14.1127004623413,31.6382007598877,3.46770000457764,-219426.180124197,62571.7299101627
"51",7,121,58,19,13.6169996261597,0,292.367004394531,277.384887695312,8.87909984588623,-0.0586999990046024,9.17230033874512,28.2227993011475,0.0438000001013279,-72495.2622358319,149422.820145633
"52",15,139,58,20,19.6296997070312,0,255.220306396484,240.40119934082,7.24200010299683,1.54130005836487,12.9270000457764,32.3979988098145,1.92299997806549,-90003.1873915618,146161.865012346
"53",15,139,58,20,19.6296997070312,0,255.220306396484,240.40119934082,7.24200010299683,1.54130005836487,12.9270000457764,32.3979988098145,1.92299997806549,-89984.5885741676,146286.133230411
"54",15,120,56,19,11.8857002258301,0,276.334014892578,265.923187255859,8.16429996490479,-0.524699985980988,9.97299957275391,30.1690006256104,-0.219200000166893,-69831.8759693234,149325.143249003
"55",15,142,57,22,18.8346996307373,0,232.593704223633,217.582992553711,6.7810001373291,2.24970006942749,13.1129999160767,32.7891998291016,2.64800000190735,-93869.4284660096,143020.171697841
"56",7,139,56,22,17.422700881958,0,257.006713867188,246.052200317383,7.1213002204895,0.46900001168251,11.3909997940063,29.7308006286621,0.736999988555908,-90793.7501836369,132689.342863449
"57",15,170,50,18,22.4937000274658,0,169.905303955078,162.102096557617,5.04720020294189,3.28600001335144,13.0570001602173,33.9389991760254,3.77819991111755,-107089.518291434,141540.875999113
"58",2,191,54,24,32.6110000610352,24.5223007202148,42.7507019042969,56.3202018737793,1.02530002593994,7.42500019073486,19.3297004699707,25.4367008209229,7.86159992218018,202757.872908671,-492299.469569618
"59",5,171,47,19,24.0986995697021,0,157.501007080078,157.252593994141,3.99340009689331,2.76869988441467,12.274299621582,31.7119007110596,3.30100011825562,-91820.7872436492,100405.268683866
"60",15,171,47,19,22.4286994934082,0,155.848297119141,157.295806884766,4.29759979248047,2.49070000648499,13.0762996673584,31.7872009277344,2.91540002822876,-93660.3212101659,114553.582002226
"61",15,164,44,19,23.7807006835938,0.556999981403351,124.239303588867,127.293800354004,3.42700004577637,3.41330003738403,12.4526996612549,32.7555999755859,4.00439977645874,-100919.249546149,93175.6313936603
"62",2,140,55,22,22.0393009185791,0,213.29670715332,206.435195922852,6.55830001831055,1.6797000169754,12.1752996444702,31.1499996185303,2.00570011138916,-81840.1574818384,121479.367192432
"63",15,167,49,19,23.4577007293701,0.44200000166893,118.781700134277,121.763000488281,3.33319997787476,3.49600005149841,12.5396995544434,32.8064002990723,4.12900018692017,-96398.5858908768,86785.3048165869
"64",15,140,54,22,20.7626991271973,0,163.540298461914,162.921005249023,4.5366997718811,2.38129997253418,12.2856998443604,31.5083999633789,2.86339998245239,-82822.3410939433,107380.004979067
"65",15,170,48,19,23.2712993621826,0.41100001335144,121.621299743652,124.466300964355,3.34559988975525,3.4909999370575,12.5340003967285,32.8730010986328,4.10570001602173,-94628.7809907575,89766.0549452198
"66",15,143,52,22,23.6716995239258,0,149.494705200195,150.158401489258,3.89580011367798,3.38499999046326,12.3102998733521,32.989200592041,3.92899990081787,-89911.4991416054,100717.607290731
"67",15,141,54,22,21.6410007476807,0,156.851303100586,157.388397216797,4.29739999771118,1.96000003814697,12.3427000045776,31.2682991027832,2.48309993743896,-82414.4560227723,105418.517073962
"68",9,168,46,19,NA,NA,110.901702880859,114.449600219727,3.17790007591248,3.72370004653931,12.5043001174927,32.7276000976562,4.33470010757446,-98023.498665924,84414.5553418659
"69",15,171,48,19,22.5049991607666,0,150.641296386719,149.91780090332,3.97140002250671,2.8403000831604,12.2887001037598,32.2925987243652,3.44510006904602,-92330.0005033562,96720.6073451047
"70",15,171,45,19,23.233699798584,0,170.785705566406,166.147796630859,4.29860019683838,2.45169997215271,12.5907001495361,31.5090999603271,2.90330004692078,-92937.7750250837,108865.524282642
"71",15,124,57,20,15.8590002059937,0,273.525299072266,260.095886230469,8.77560043334961,0.882000029087067,9.71469974517822,28.8199005126953,0.911700010299683,-70043.3979540932,132667.616075977
"72",15,130,56,21,17.4617004394531,0,254.490295410156,240.658996582031,8.30000019073486,0.87830001115799,10.5823001861572,30.2271003723145,1.02989995479584,-73646.8658383254,129198.3186186
"73",7,141,54,22,21.5107002258301,0,151.107696533203,152.250900268555,4.01070022583008,2.3157000541687,12.4743003845215,31.7236003875732,2.84980010986328,-86099.1902670968,103266.633053308
"74",7,130,65,13,2.83229994773865,0,179.510299682617,172.055801391602,8.2819995880127,-3.09800004959106,7.51100015640259,30.7299995422363,-2.87059998512268,-76848.9313398695,217459.499285021
"75",15,170,55,31,35.9523010253906,23.6343002319336,44.4076995849609,83.4700012207031,2.28889989852905,7.22569990158081,17.9512996673584,31.5531997680664,7.44509983062744,253024.160286554,-494203.448071509
"76",15,170,55,31,35.564998626709,23.1483001708984,44.3400001525879,83.5419998168945,2.26640009880066,7.16499996185303,17.9676990509033,31.6529006958008,7.417799949646,253265.843665217,-494590.222777359
"77",8,170,55,31,33.5672988891602,24.8526992797852,40.7132987976074,76.280403137207,2.27099990844727,6.82369995117188,18.104700088501,32.0890007019043,7.07420015335083,253923.43209277,-492439.62080191
"78",8,152,57,35,34.1217002868652,14.7087001800537,55.3120002746582,73.443603515625,10.1437997817993,3.65930008888245,16.5673007965088,32.978401184082,3.7564001083374,299402.601955374,-473145.995003801
"79",7,153,56,36,26.6082992553711,7.07429981231689,74.6330032348633,96.6763000488281,14.0930995941162,0.283300012350082,13.5256996154785,29.7751998901367,0.0829000025987625,307090.250566498,-479731.760865975
