species,longitude,latitude,combined,Point_X,Point_Y
Ixodes pacificus,-122.0471,36.9973,-122.0471+36.9973,-181917.9889,-111319.025
Ixodes pacificus,-122.04166,36.99194,-122.04166+36.99194,-181447.4575,-111925.0954
Ixodes pacificus,-122.063056,37.036944,-122.063056+37.036944,-183239.8428,-106882.7266
Ixodes pacificus,-122.02889,37.0175,-122.02889+37.0175,-180251.9279,-109109.0114
Ixodes pacificus,-122.4151,40.99554,-122.4151+40.99554,-203298.0979,333595.0257
Ixodes pacificus,-122.23361,40.93333,-122.23361+40.93333,-188186.1665,326317.3402
Ixodes pacificus,-122.23361,40.93333,-122.23361+40.93333,-188186.1665,326317.3402
Ixodes pacificus,-122.24739,40.94267,-122.24739+40.94267,-189322.3766,327381.2144
Ixodes pacificus,-122.2527,40.8705,-122.2527+40.8705,-189959.9432,319383.0547
Ixodes pacificus,-122.25305,40.94194,-122.25305+40.94194,-189801.0193,327311.5252
Ixodes pacificus,-122.41249,40.99651,-122.41249+40.99651,-203075.7005,333697.0596
Ixodes pacificus,-122.41249,40.99651,-122.41249+40.99651,-203075.7005,333697.0596
Ixodes pacificus,-122.41249,40.99651,-122.41249+40.99651,-203075.7005,333697.0596
Ixodes pacificus,-122.15023,40.52259,-122.15023+40.52259,-182196.5432,280565.7823
Ixodes pacificus,-122.15023,40.52259,-122.15023+40.52259,-182196.5432,280565.7823
Ixodes pacificus,-122.267035,40.468157,-122.267035+40.468157,-192236.5846,274753.5796
Ixodes pacificus,-122.267035,40.468157,-122.267035+40.468157,-192236.5846,274753.5796
Ixodes pacificus,-122.267581,40.472189,-122.267581+40.472189,-192272.1671,275202.3005
Ixodes pacificus,-122.267581,40.472189,-122.267581+40.472189,-192272.1671,275202.3005
Ixodes pacificus,-122.44733,40.611674,-122.44733+40.611674,-207110.4631,291064.56
Ixodes pacificus,-122.37531,40.59766,-122.37531+40.59766,-201055.8607,289354.0021
Ixodes pacificus,-122.37531,40.59766,-122.37531+40.59766,-201055.8607,289354.0021
Ixodes pacificus,-121.862396,40.477039,-121.862396+40.477039,-157909.942,274992.4556
Ixodes pacificus,-122.498476,40.494039,-122.498476+40.494039,-211782.016,278119.9032
Ixodes pacificus,-122.293371,40.430836,-122.293371+40.430836,-194569.607,270664.042
Ixodes pacificus,-122.417094,40.938967,-122.417094+40.938967,-203625.9844,327321.9948
Ixodes pacificus,-122.390887,40.690397,-122.390887+40.690397,-202114.4574,299680.4697
Ixodes pacificus,-122.390887,40.690397,-122.390887+40.690397,-202114.4574,299680.4697
Ixodes pacificus,-122.390887,40.690397,-122.390887+40.690397,-202114.4574,299680.4697
Ixodes pacificus,-122.342655,40.493874,-122.342655+40.493874,-198577.0907,277764.3659
Ixodes pacificus,-122.387552,40.604518,-122.387552+40.604518,-202072.6864,290141.2627
Ixodes pacificus,-122.316909,40.622672,-122.316909+40.622672,-196045.6715,292008.0167
Ixodes pacificus,-121.996079,40.429752,-121.996079+40.429752,-169353.7459,269973.1115
Ixodes pacificus,-121.996079,40.429752,-121.996079+40.429752,-169353.7459,269973.1115
Ixodes pacificus,-120.911833,39.539407,-120.911833+39.539407,-78317.97326,169661.0934
Ixodes pacificus,-120.911833,39.539407,-120.911833+39.539407,-78317.97326,169661.0934
Ixodes pacificus,-122.13333,38.23333,-122.13333+38.23333,-186488.2341,26216.68209
Ixodes pacificus,-122.653,38.448,-122.653+38.448,-231237.8693,51217.39576
Ixodes pacificus,-123.0597,38.3031,-123.0597+38.3031,-267194.6268,36186.27899
Ixodes pacificus,-123.0597,38.3031,-123.0597+38.3031,-267194.6268,36186.27899
Ixodes pacificus,-122.5417,38.343,-122.5417+38.343,-221852.0637,39283.78672
Ixodes pacificus,-122.5417,38.343,-122.5417+38.343,-221852.0637,39283.78672
Ixodes pacificus,-122.5417,38.343,-122.5417+38.343,-221852.0637,39283.78672
Ixodes pacificus,-122.5417,38.343,-122.5417+38.343,-221852.0637,39283.78672
Ixodes pacificus,-121.3709,37.4204,-121.3709+37.4204,-121151.4812,-65375.74155
Ixodes pacificus,-121.3812,37.4225,-121.3812+37.4225,-122058.2738,-65129.11175
Ixodes pacificus,-121.3812,37.4225,-121.3812+37.4225,-122058.2738,-65129.11175
Ixodes pacificus,-121.3709,37.4204,-121.3709+37.4204,-121151.4812,-65375.74155
Ixodes pacificus,-121.3712,37.4205,-121.3712+37.4205,-121177.831,-65364.24297
Ixodes pacificus,-121.3816,37.4225,-121.3816+37.4225,-122093.6201,-65128.5967
Ixodes pacificus,-121.3712,37.4205,-121.3712+37.4205,-121177.831,-65364.24297
Ixodes pacificus,-122.80735,40.74593,-122.80735+40.74593,-237128.4335,306808.3136
Ixodes pacificus,-118.80027,36.51611,-118.80027+36.51611,107299.4364,-166086.2626
Ixodes pacificus,-118.80027,36.51611,-118.80027+36.51611,107299.4364,-166086.2626
Ixodes pacificus,-118.78777,36.54555,-118.78777+36.54555,108375.4847,-162800.4522
Ixodes pacificus,-118.78777,36.54555,-118.78777+36.54555,108375.4847,-162800.4522
Ixodes pacificus,-120.40027,38.03638,-120.40027+38.03638,-35084.56704,2298.436842
Ixodes pacificus,-120.32888,38.00861,-120.32888+38.00861,-28837.60799,-812.7026069
Ixodes pacificus,-120.32888,38.00861,-120.32888+38.00861,-28837.60799,-812.7026069
Ixodes pacificus,-120.20972,38.06277,-120.20972+38.06277,-18375.44367,5178.379813
Ixodes pacificus,-120.21777,38.06722,-120.21777+38.06722,-19079.68194,5674.658791
Ixodes pacificus,-120.27388,38.06722,-120.27388+38.06722,-23995.97698,5687.40586
Ixodes pacificus,-120.399,38.0332,-120.399+38.0332,-34974.73347,1944.461313
Ixodes pacificus,-120.398,38.0385,-120.398+38.0385,-34884.60187,2533.270017
Ixodes pacificus,-120.508,37.982,-120.508+37.982,-44559.958,-3701.484499
Ixodes pacificus,-121.3999,37.034,-121.3999+37.034,-124348.3432,-108285.6651
Ixodes pacificus,-121.3999,37.034,-121.3999+37.034,-124348.3432,-108285.6651
Ixodes pacificus,-119.22666,34.29361,-119.22666+34.29361,71179.50981,-413304.1041
Ixodes pacificus,-119.22666,34.29361,-119.22666+34.29361,71179.50981,-413304.1041
Ixodes pacificus,-119.22666,34.29361,-119.22666+34.29361,71179.50981,-413304.1041
Ixodes pacificus,-119.235,34.264,-119.235+34.264,70438.42078,-416595.6176
Ixodes pacificus,-119.275779,34.511502,-119.275779+34.511502,66473.9784,-389161.1635
Ixodes pacificus,-119.163717,34.560256,-119.163717+34.560256,76711.64387,-383665.8096
Ixodes pacificus,-122.3249,38.9147,-122.3249+38.9147,-201374.3943,102327.227
Ixodes pacificus,-122.2428,38.8298,-122.2428+38.8298,-194487.7136,92721.96038
Ixodes pacificus,-122.2428,38.8298,-122.2428+38.8298,-194487.7136,92721.96038
Ixodes pacificus,-122.2428,38.8298,-122.2428+38.8298,-194487.7136,92721.96038
Ixodes pacificus,-121.155,39.428,-121.155+39.428,-99353.9424,157509.9549
Ixodes pacificus,-121.155,39.428,-121.155+39.428,-99353.9424,157509.9549
Ixodes pacificus,-121.095,39.392,-121.095+39.392,-94239.07937,153448.4548
Ixodes pacificus,-121.133,39.399,-121.133+39.399,-97500.06672,154264.7117
Ixodes pacificus,-121.0838,39.3944,-121.0838+39.3944,-93272.15479,153704.0652
Ixodes pacificus,-121.0641,39.253,-121.0641+39.253,-91753.18063,137972.0444
Ixodes pacificus,-121.0641,39.253,-121.0641+39.253,-91753.18063,137972.0444
Ixodes pacificus,-121.0641,39.253,-121.0641+39.253,-91753.18063,137972.0444
Ixodes pacificus,-121.0641,39.253,-121.0641+39.253,-91753.18063,137972.0444
Ixodes pacificus,-121.781022,39.222048,-121.781022+39.222048,-153630.1237,135460.3514
