"","fvegHW90mask","bird90","mammal90","reptile90","aetmar_90m","cwdmar_90m","pptmar_90m","pptdjf_90m","pptjja_90m","tmnmar_90m","tmxmar_90m","tmxjja_90m","tmndjf_90m","longitude","latitude"
"21",7,139,56,20,74.74169921875,0,152.445693969727,165.900100708008,4.79890012741089,4.13800001144409,15.7589998245239,31.2493991851807,2.43989992141724,-48632.4579892706,37898.4166796114
"22",11,135,56,20,73.5869979858398,0,150.721694946289,167.739105224609,4.84619998931885,3.34270000457764,15.9593000411987,30.9290008544922,1.46659994125366,-46258.2782239072,40571.6492188564
"23",15,166,42,18,72.911003112793,6.90899991989136,89.5246963500977,93.2508010864258,2.45040011405945,6.78170013427734,18.4533004760742,33.8744010925293,4.28859996795654,-76180.4406193719,25432.9677737351
"24",15,168,47,18,76.3040008544922,0,115.137001037598,120.557998657227,3.00430011749268,5.12270021438599,18.5333003997803,34.0620994567871,2.68099999427795,-63712.8066878276,32509.1569917938
"25",7,145,58,18,57.3876991271973,0,135.152297973633,249.325607299805,6.5391001701355,3.49530005455017,13.6549997329712,28.3486003875732,2.09310007095337,-233526.330342337,149735.27881042
"26",15,188,46,17,75.9800033569336,0,107.002700805664,136.063095092773,2.02559995651245,6.62200021743774,17.2126998901367,27.1487007141113,4.86420011520386,-189867.044897021,-8102.02461122815
"27",15,189,48,17,68.2669982910156,6.35970020294189,114.257301330566,135.623992919922,2.71160006523132,7.49770021438599,16.2322998046875,25.1986999511719,6.67990016937256,-197185.495577201,-10075.7089178674
"28",15,192,48,18,68.1346969604492,6.70529985427856,104.221000671387,129.292999267578,2.4909999370575,7.20800018310547,17.0002994537354,24.5832996368408,5.86509990692139,-198305.140266403,-9917.89243749809
"29",15,189,47,17,76.0073013305664,0.152700006961823,132.751998901367,141.807998657227,3.6159999370575,7.48299980163574,15.4689998626709,24.5475997924805,6.72709989547729,-195112.663235061,-12851.1224480169
"30",15,190,48,17,74.1066970825195,0,111.234298706055,134.20280456543,2.6149001121521,7.32270002365112,16.5177001953125,24.9491004943848,6.19619989395142,-197580.097708626,-11158.3172254134
"31",15,190,48,17,75.0066986083984,0,115.569297790527,136.21110534668,2.74379992485046,7.41029977798462,16.2339992523193,25.0223999023438,6.48070001602173,-197295.971064684,-11438.6040162891
"32",15,192,48,18,73.9432983398438,0,103.607696533203,129.157897949219,2.49559998512268,7.16099977493286,17.1599998474121,24.2124004364014,5.73479986190796,-198447.882203424,-10194.710316367
"33",15,192,48,18,73.9432983398438,0,103.607696533203,129.157897949219,2.49559998512268,7.16099977493286,17.1599998474121,24.2124004364014,5.73479986190796,-198459.672130701,-10136.6059647193
"34",4,195,48,18,68.4047012329102,6.93529987335205,101.431999206543,126.894798278809,2.33189988136292,7.22370004653931,17.2823009490967,23.7985992431641,5.7701997756958,-199181.564161154,-9140.81201261561
"35",15,199,49,17,74.5979995727539,1.07200002670288,94.2767028808594,118.796096801758,1.90429997444153,7.56330013275146,17.5657005310059,25.9458999633789,5.92509984970093,-202725.35737713,-4892.24739813013
"36",2,194,46,14,68.274299621582,6.76900005340576,80.5800018310547,106.14990234375,1.52300000190735,6.87470006942749,18.6119995117188,27.6161994934082,4.68499994277954,-194646.270395367,5688.43389023282
