Record,fvegHW90mask,aet_90m,cwd_90m,ppt_90m,pptdjf_90m,pptjja_90m,tmn_90m,tmx_90m,tmxjja_90m,tmndjf_90m,longitude,latitude
3766,2,338.4266968,886.7467041,620.0333252,112.1023026,5.124400139,9.460000038,23.85330009,34.42300034,2.969099998,-218777.5317,198459.8799
12577,3,102.4233017,1421.976685,105.2232971,15.25529957,6.830800056,12.38329983,27.84329987,39.24420166,3.337100029,338324.9923,-294531.3394
8855,3,141.4333038,1015.41333,177.6533051,20.82439995,11.14039993,5.710000038,18.9633007,29.61759949,-1.597300053,255760.8242,-121831.6637
14752,8,315.9466858,1003.580017,486.5232849,95.88189697,2.534800053,9.436699867,18.89669991,27.71500015,3.397200108,159342.3713,-381623.2215
16683,3,102.7699966,1432.323242,102.6832962,14.21440029,7.657299995,16.65999985,30.52330017,40.90119934,7.373300076,480754.2254,-483086.9804
1843,7,295.5700073,501.8432922,520.5999756,65.21890259,15.8980999,-0.383300006,14.03670025,25.2241993,-6.692900181,-71135.44144,319699.6913
42,11,243.2799988,613.4467163,284.6366882,32.10089874,12.85359955,-0.150000006,16.40999985,27.31870079,-5.8052001,-128472.6859,442799.3697
13880,3,174.7633057,1308.880005,174.6900024,22.78680038,14.23400021,14.15999985,27.93670082,38.81940079,5.079400063,467158.6036,-347892.7192
13926,5,149.0500031,1305.106689,157.2133026,30.42980003,1.984099984,8.630000114,25.45330048,35.83430099,0.186399996,173193.2347,-349715.251
5013,15,439.333313,733.4666748,1135.026733,214.6179962,3.732000113,6.53000021,22.82329941,31.69169998,2.724600077,-275220.3507,114183.7721
4135,8,397.103302,701.7700195,1474.466675,271.7576904,7.433599949,6.349999905,19.09000015,27.50040054,2.16230011,-283431.5674,172066.5838
12142,3,148.7967072,1289.743286,161.0166931,29.81739998,4.254000187,10.22000027,24.51329994,35.44490051,2.819900036,193886.0369,-275419.904
3751,15,440.0733032,551.876709,1519.920044,282.4984131,7.165800095,5.683300018,21.25,30.37599945,1.857900023,-292461.3765,199025.8636
5873,11,328.3800049,909.6699829,916.4033203,181.0269012,2.071899891,8.146699905,23.18000031,30.95280075,3.813800097,-216459.0305,56400.92378
7031,7,255.2333069,468.6300049,592.1832886,98.29060364,14.2677002,-2.039999962,11.55000019,20.86289978,-8.940699577,102423.315,-19422.85583
16051,2,293.876709,971.2000122,348.3467102,71.61160278,0.689100027,10.58670044,19.80669975,21.0557003,7.772799969,42806.31076,-442321.3195
11322,15,359.9032898,952.8233032,463.9599915,90.56230164,0.678799987,5.429999828,24.9633007,33.20640182,1.637799978,-102201.7778,-240684.9503
4003,15,276.1799927,912.1333008,590.2966919,108.8980026,5.507599831,7.553299904,23.48329926,33.66799927,1.39230001,-223739.8962,181158.9384
