"","fvegHW90mask","aet_90m","cwd_90m","ppt_90m","pptdjf_90m","pptjja_90m","tmn_90m","tmx_90m","tmxjja_90m","tmndjf_90m","longitude","latitude"
"1680",7,378.786712646484,568.119995117188,1071.54333496094,184.25520324707,11.7251996994019,4.14669990539551,20.2467002868652,31.171199798584,-0.235100001096725,-263995.748346756,429996.366292604
"1681",8,289.839996337891,674.186706542969,532.320007324219,84.2328033447266,13.5685997009277,3.48329997062683,19.9200000762939,31.1793994903564,-1.94130003452301,-221315.476878162,426575.054714264
"1682",7,210.536697387695,636.63671875,364.646697998047,47.1341018676758,14.7052001953125,0.766700029373169,15.7966995239258,26.5583992004395,-5.03310012817383,-177659.800674207,426797.304037295
"1683",8,260.88330078125,736.553283691406,534.896728515625,84.9169006347656,13.4237003326416,3.58669996261597,19.9633007049561,31.1790008544922,-1.7166999578476,-221231.597704275,426894.387984076
"1684",15,540.156677246094,753.976684570312,643.916687011719,130.288192749023,1.44969999790192,9.16670036315918,24.4466991424561,34.2081985473633,3.76099991798401,-176752.879886,54876.0780338203
"1685",15,328.766693115234,848.393310546875,755.059997558594,149.436798095703,1.92809998989105,8.23999977111816,23.1599998474121,32.5438003540039,3.2846999168396,-182514.405417393,56582.4941797866
"1686",15,328.766693115234,848.393310546875,755.059997558594,149.436798095703,1.92809998989105,8.23999977111816,23.1599998474121,32.5438003540039,3.2846999168396,-182514.405417393,56582.4941797866
"1687",15,328.766693115234,848.393310546875,755.059997558594,149.436798095703,1.92809998989105,8.23999977111816,23.1599998474121,32.5438003540039,3.2846999168396,-182514.405417393,56582.4941797866
"1688",15,304.106689453125,986.436706542969,616.429992675781,120.528602600098,1.6816999912262,9.04329967498779,23.5200004577637,31.9547996520996,4.21780014038086,-186414.503753799,27904.8198166913
"1689",2,350.283294677734,942.650024414062,623.253295898438,122.61499786377,1.49479997158051,9.18330001831055,24.1499996185303,33.4757995605469,4.0327000617981,-175474.9599616,37415.9390538135
"1690",15,313.809997558594,980.466674804688,612.373291015625,119.25520324707,1.65409994125366,9.07670021057129,23.5366992950439,32.0684013366699,4.2318000793457,-186489.377548459,26217.2641257942
"1691",2,378.200012207031,869.380004882812,670.77001953125,128.366195678711,1.73889994621277,9.46669960021973,22.0233001708984,28.9192008972168,5.20679998397827,-191689.761421499,21268.0111807734
"1692",15,384.773284912109,813.393310546875,889.679992675781,169.436294555664,2.63220000267029,7.81330013275146,21.7933006286621,27.7320003509521,4.01999998092651,-231239.015365265,51217.9817742268
"1693",15,384.773284912109,813.393310546875,889.679992675781,169.436294555664,2.63220000267029,7.81330013275146,21.7933006286621,27.7320003509521,4.01999998092651,-231239.015365265,51217.9817742268
"1694",15,384.773284912109,813.393310546875,889.679992675781,169.436294555664,2.63220000267029,7.81330013275146,21.7933006286621,27.7320003509521,4.01999998092651,-231239.015365265,51217.9817742268
"1695",15,384.773284912109,813.393310546875,889.679992675781,169.436294555664,2.63220000267029,7.81330013275146,21.7933006286621,27.7320003509521,4.01999998092651,-231239.015365265,51217.9817742268
"1696",15,384.773284912109,813.393310546875,889.679992675781,169.436294555664,2.63220000267029,7.81330013275146,21.7933006286621,27.7320003509521,4.01999998092651,-231239.015365265,51217.9817742268
"1697",15,384.773284912109,813.393310546875,889.679992675781,169.436294555664,2.63220000267029,7.81330013275146,21.7933006286621,27.7320003509521,4.01999998092651,-231239.015365265,51217.9817742268
"1698",15,384.773284912109,813.393310546875,889.679992675781,169.436294555664,2.63220000267029,7.81330013275146,21.7933006286621,27.7320003509521,4.01999998092651,-231239.015365265,51217.9817742268
"1699",7,481.216705322266,725.830017089844,1469.48327636719,285.076690673828,3.57879996299744,7.84000015258789,20.8799991607666,27.363899230957,4.4109001159668,-261895.088144952,62498.325349974
"1700",7,481.216705322266,725.830017089844,1469.48327636719,285.076690673828,3.57879996299744,7.84000015258789,20.8799991607666,27.363899230957,4.4109001159668,-261895.088144952,62498.325349974
"1701",7,481.216705322266,725.830017089844,1469.48327636719,285.076690673828,3.57879996299744,7.84000015258789,20.8799991607666,27.363899230957,4.4109001159668,-261895.088144952,62498.325349974
"1702",7,481.216705322266,725.830017089844,1469.48327636719,285.076690673828,3.57879996299744,7.84000015258789,20.8799991607666,27.363899230957,4.4109001159668,-261895.088144952,62498.325349974
