"","fvegHW90mask","bird90","mammal90","reptile90","aet_90m","cwd_90m","ppt_90m","pptdjf_90m","pptjja_90m","tmn_90m","tmx_90m","tmxjja_90m","tmndjf_90m","longitude","latitude"
"13069",3,82,34,30,182.303298950195,1227.68334960938,187.5,23.5646991729736,14.497200012207,11.4167003631592,24.096700668335,35.0032005310059,3.04189991950989,452388.150147,-314279.145492
"13070",15,133,51,24,286.236694335938,1018.88671875,392.396697998047,68.6367034912109,4.01730012893677,6.78999996185303,18.5266990661621,28.5114002227783,0.321700006723404,125141.248744,-314556.967593
"13071",3,96,32,26,115.726699829102,1365.3232421875,122.093299865723,23.826000213623,1.9782999753952,9.1899995803833,25.2933006286621,35.8241004943848,1.39989995956421,206873.037252,-314533.435661
"13072",15,129,50,23,245.433303833008,1080.08996582031,296.040008544922,50.526798248291,4.17119979858398,7.1399998664856,18.9967002868652,28.3579006195068,0.79009997844696,140088.514825,-314172.957444
"13073",3,90,47,26,209.786697387695,1253.02673339844,233.123306274414,40.6619987487793,4.49069976806641,10.3500003814697,21.6133003234863,31.7653999328613,3.04439997673035,167475.981332,-314781.507702
"13074",2,144,38,17,202.533294677734,1255.36999511719,208.426696777344,33.3899993896484,1.11090004444122,12.0066995620728,26.13330078125,36.2240982055664,4.73530006408691,111388.059698,-314959.335612
"13075",2,136,55,24,210.29670715332,1141.49328613281,224.300003051758,38.6841011047363,1.1521999835968,6.45329999923706,24.0666999816895,33.3978996276855,0.972299993038177,11668.0977849,-315093.84754
"13076",5,78,34,31,91.6699981689453,1468.943359375,92.2399978637695,11.6451997756958,7.90810012817383,12.4567003250122,30.2933006286621,41.9659004211426,1.63160002231598,359104.176147,-314988.929022
"13077",2,153,47,19,315.923309326172,1045.53674316406,554.646728515625,105.234703063965,1.3313000202179,7.63329982757568,24.0699996948242,29.2562007904053,3.24959993362427,-37645.379906,-315089.983546
"13078",3,77,36,30,158.436706542969,1326.16003417969,167.523300170898,24.0473003387451,9.49470043182373,12.1732997894287,25.0366992950439,36.1384010314941,3.84619998931885,377765.047812,-314717.282601
"13079",11,137,37,17,154.706695556641,1330.97668457031,153.246704101562,24.9570999145508,0.756099998950958,11.2200002670288,25.596700668335,35.3955993652344,3.95210003852844,64528.2252984,-314927.727441
"13080",7,116,52,23,255.973297119141,1032.18005371094,302.149993896484,52.8135986328125,4.34609985351562,6.63329982757568,19.1432991027832,28.6037998199463,0.447899997234344,150511.451443,-314927.214615
"13081",3,77,36,29,115.059997558594,1472.9599609375,117.889999389648,19.358699798584,5.62580013275146,11.5600004196167,26.5533008575439,37.4250984191895,3.22000002861023,298180.690688,-314629.568857
"13082",3,109,35,26,185.716705322266,1294.193359375,195.110000610352,36.2462005615234,3.1577000617981,9.91329956054688,23.7966995239258,34.1245994567871,2.31839990615845,168997.22812,-315573.666485
"13083",3,92,37,30,159.869995117188,1324.38671875,166.826705932617,22.8111991882324,10.9977998733521,14.9200000762939,28.0599994659424,39.4255981445312,5.75430011749268,480368.807718,-315404.171163
"13084",3,76,32,28,116.470001220703,1447.22326660156,120.36669921875,21.9421005249023,4.24609994888306,10.7666997909546,25.3866996765137,35.9907989501953,3.07800006866455,246761.653526,-315115.277164
"13085",3,81,34,30,182.193298339844,1237.24328613281,190.61669921875,23.9218006134033,14.8528995513916,11.3100004196167,24.3600006103516,35.231201171875,2.73130011558533,448911.592247,-315473.592962
