"","fvegHW90mask","bird90","mammal90","reptile90","aetmay_90m","cwdmay_90m","pptmay_90m","pptdjf_90m","pptjja_90m","tmnmay_90m","tmxmay_90m","tmxjja_90m","tmndjf_90m","longitude","latitude"
"34",15,163,49,19,43.918701171875,110.50129699707,30.3453006744385,152.966995239258,2.54320001602173,7.00069999694824,24.8612995147705,32.219799041748,0.891099989414215,-243347.741396523,114929.953181881
"35",5,157,53,19,58.7799987792969,87.3332977294922,42.7313003540039,195.291305541992,4.97709989547729,6.19600009918213,24.0412998199463,31.4489002227783,0.517000019550323,-254284.65691045,141388.543554449
"36",5,163,48,19,39.2997016906738,115.027000427246,25.1879997253418,149.717193603516,2.61479997634888,8.35000038146973,23.8596992492676,31.3703002929688,1.60179996490479,-234423.31111791,108118.09350185
"37",11,171,45,17,155.825302124023,6.25799989700317,31.7103004455566,187.910598754883,2.71160006523132,8.6702995300293,26.4139995574951,32.1073989868164,3.28259992599487,-221283.385266677,63911.2410414033
"38",7,151,53,28,29.551700592041,116.591697692871,22.2150001525879,165.015899658203,3.33859992027283,8.56729984283447,21.5042991638184,28.0820007324219,2.12829995155334,215512.334595105,-417326.230810398
"39",15,134,62,16,108.023696899414,58.2397003173828,37.3289985656738,162.773193359375,5.07609987258911,9.13770008087158,23.5599994659424,31.6928005218506,1.68330001831055,33967.4995023047,-70025.1889081234
"40",15,135,62,16,62.8680000305176,100.788696289062,36.1323013305664,169.968597412109,5.47069978713989,8.68130016326904,22.9867000579834,31.0139999389648,1.42569994926453,35896.3277186576,-73013.0111493394
"41",15,135,62,17,79.7606964111328,84.3793029785156,35.2542991638184,169.716796875,5.54290008544922,8.59070014953613,23.0407009124756,31.0130996704102,1.35230004787445,36337.067025036,-74092.7322137295
"42",5,204,52,15,NA,NA,21.0979995727539,121.633102416992,2.13919997215271,10.4567003250122,17.0130004882812,18.8568992614746,7.30719995498657,-222182.622139371,-18682.7179273488
"43",8,204,52,15,46.5013008117676,99.1352996826172,23.7073001861572,132.790405273438,2.48659992218018,10.2163000106812,17.1560001373291,18.7653007507324,7.23530006408691,-223296.349475241,-17386.2967213318
"44",15,202,50,15,37.0662994384766,115.967002868652,19.2982997894287,163.618194580078,1.77180004119873,10.0183000564575,22.2980003356934,25.8099002838135,5.70989990234375,-218939.60110417,1708.77759889979
"45",15,198,42,14,36.0060005187988,117.337303161621,18.8027000427246,160.253997802734,1.72720003128052,10.015700340271,22.2467002868652,25.6991004943848,5.64300012588501,-218930.23313721,2064.3874508366
"46",2,203,52,15,43.2220001220703,99.1613006591797,30.4533004760742,167.804397583008,3.27320003509521,9.72729969024658,18.0587005615234,19.8027000427246,6.75629997253418,-222522.821685223,-14886.9436218087
"47",8,204,52,15,56.9093017578125,88.597297668457,31.2166996002197,171.233306884766,3.42219996452332,9.84169960021973,18.7047004699707,20.8138008117676,6.75930023193359,-223006.359723145,-13856.6892042235
"48",15,167,50,17,62.9700012207031,97.4067001342773,27.011999130249,152.963104248047,3.51620006561279,8.69900035858154,24.4750003814697,32.3763999938965,1.52890002727509,3434.25318830116,-57390.625348316
"49",7,127,63,17,116.257301330566,17.8782997131348,53.7527008056641,193.495803833008,6.28830003738403,5.2519998550415,16.8850002288818,24.5711002349854,-1.0378999710083,24064.6401227217,-41482.2622673875
