"","fvegHW90mask","aetfeb_90m","cwdfeb_90m","pptfeb_90m","pptdjf_90m","pptjja_90m","tmnfeb_90m","tmxfeb_90m","tmxjja_90m","tmndjf_90m","longitude","latitude"
"84",8,59.1082992553711,15.3016996383667,102.764701843262,73.1726989746094,1.46459996700287,8.20800018310547,20.1529998779297,29.0627994537354,7.77479982376099,227311.526770744,-491405.687819392
"85",5,52.967700958252,20.0056991577148,71.5390014648438,55.0220985412598,1.03620004653931,8.4153003692627,19.2542991638184,24.2959995269775,7.93340015411377,202528.610127482,-492132.636478003
"86",5,52.967700958252,20.0056991577148,71.5390014648438,55.0220985412598,1.03620004653931,8.4153003692627,19.2542991638184,24.2959995269775,7.93340015411377,202528.610127482,-492132.636478003
"87",5,52.967700958252,20.0056991577148,71.5390014648438,55.0220985412598,1.03620004653931,8.4153003692627,19.2542991638184,24.2959995269775,7.93340015411377,202528.610127482,-492132.636478003
"88",15,37.5713005065918,0,166.447692871094,166.080993652344,4.77740001678467,3.31130003929138,14.0207004547119,31.4983997344971,2.59859991073608,-82538.177845684,106975.884999629
"89",15,37.5713005065918,0,166.447692871094,166.080993652344,4.77740001678467,3.31130003929138,14.0207004547119,31.4983997344971,2.59859991073608,-82538.177845684,106975.884999629
"90",7,6.81500005722046,0,195.049301147461,195.985305786133,9.59889984130859,-2.80570006370544,8.67800045013428,29.1762008666992,-3.15590000152588,-87569.1407991025,210994.69080055
"91",7,13.524299621582,0,167.269302368164,172.055801391602,8.2819995880127,-2.48499989509583,10.2412996292114,30.7299995422363,-2.87059998512268,-76848.9313398717,217459.499285019
"92",15,64.456298828125,9.74030017852783,95.9002990722656,83.4700012207031,2.28889989852905,7.54169988632202,17.7936992645264,31.5531997680664,7.44509983062744,253024.160286552,-494203.44807151
"93",15,64.456298828125,9.74030017852783,95.9002990722656,83.4700012207031,2.28889989852905,7.54169988632202,17.7936992645264,31.5531997680664,7.44509983062744,253024.160286552,-494203.44807151
"94",15,64.456298828125,9.74030017852783,95.9002990722656,83.4700012207031,2.28889989852905,7.54169988632202,17.7936992645264,31.5531997680664,7.44509983062744,253024.160286552,-494203.44807151
"95",15,64.456298828125,9.74030017852783,95.9002990722656,83.4700012207031,2.28889989852905,7.54169988632202,17.7936992645264,31.5531997680664,7.44509983062744,253024.160286552,-494203.44807151
"96",8,59.0629997253418,14.7403001785278,84.2969970703125,65.6146011352539,1.94179999828339,6.52869987487793,19.809700012207,33.0518989562988,5.91079998016357,231413.615844008,-461260.96717975
"97",15,64.456298828125,9.74030017852783,95.9002990722656,83.4700012207031,2.28889989852905,7.54169988632202,17.7936992645264,31.5531997680664,7.44509983062744,253024.160286552,-494203.44807151
"98",15,64.456298828125,9.74030017852783,95.9002990722656,83.4700012207031,2.28889989852905,7.54169988632202,17.7936992645264,31.5531997680664,7.44509983062744,253024.160286552,-494203.44807151
