"","fvegHW90mask","aetmay_90m","cwdmay_90m","pptmay_90m","pptdjf_90m","pptjja_90m","tmnmay_90m","tmxmay_90m","tmxjja_90m","tmndjf_90m","longitude","latitude"
"40",15,126.13330078125,44.1666984558105,24.9986991882324,109.999298095703,2.67779994010925,11.3896999359131,26.742000579834,33.2672004699707,4.55569982528687,-103199.851483244,71004.827034934
"41",15,126.13330078125,44.1666984558105,24.9986991882324,109.999298095703,2.67779994010925,11.3896999359131,26.742000579834,33.2672004699707,4.55569982528687,-103199.851483244,71004.827034934
"42",15,126.13330078125,44.1666984558105,24.9986991882324,109.999298095703,2.67779994010925,11.3896999359131,26.742000579834,33.2672004699707,4.55569982528687,-103199.851483244,71004.827034934
"43",15,57.0009994506836,91.1856994628906,19.1546993255615,116.241798400879,12.0180997848511,7.3422999382019,22.5792999267578,29.262300491333,1.76820003986359,315423.835478841,-545836.519963078
"44",15,57.0009994506836,91.1856994628906,19.1546993255615,116.241798400879,12.0180997848511,7.3422999382019,22.5792999267578,29.262300491333,1.76820003986359,315423.835478841,-545836.519963078
"45",5,61.040699005127,94.1626968383789,10.7279996871948,101.501998901367,1.18929994106293,9.0516996383667,21.0750007629395,23.4197006225586,5.62960004806519,-67548.9221966252,-298411.418023466
"46",5,61.040699005127,94.1626968383789,10.7279996871948,101.501998901367,1.18929994106293,9.0516996383667,21.0750007629395,23.4197006225586,5.62960004806519,-67548.9221966252,-298411.418023466
"47",15,11.6253004074097,140.878005981445,10.184700012207,99.4030990600586,1.08120000362396,9.52130031585693,20.5296993255615,23.5552005767822,6.00269985198975,-21759.8233286828,-391995.579530491
"48",7,96.177001953125,53.4830017089844,31.4039993286133,225.087799072266,4.65719985961914,8.24969959259033,20.8847007751465,24.7101993560791,4.94269990921021,-192850.632490958,-106149.854430539
"49",15,46.0637016296387,100.023002624512,40.1436996459961,281.125793457031,3.55970001220703,9.35229969024658,20.3946990966797,26.0599994659424,5.9047999382019,-161212.894111437,-102768.300095099
"50",9,81.2123031616211,73.5442962646484,16.4193000793457,118.252197265625,1.05770003795624,8.90629959106445,21.3922996520996,23.0181007385254,4.72329998016357,-161271.423813828,-115107.598356274
