"","fvegHW90mask","aetdec_90m","cwddec_90m","pptdec_90m","pptdjf_90m","pptjja_90m","tmndec_90m","tmxdec_90m","tmxjja_90m","tmndjf_90m","longitude","latitude"
"31",15,22.5020008087158,0,185.852294921875,185.093597412109,2.20679998397827,2.92729997634888,13.9630002975464,31.3304004669189,3.51999998092651,-218344.270207032,61006.2684907708
"32",5,23.7527008056641,0.505999982357025,132.328994750977,132.920394897461,2.30139994621277,3.77870011329651,13.96399974823,28.612699508667,4.2613000869751,-196822.468725917,31621.3038605577
"33",11,23.077299118042,0,185.763000488281,185.05940246582,2.20930004119873,2.91969990730286,14.0272998809814,31.3736000061035,3.50880002975464,-218366.968351473,61465.0056076124
"34",7,13.6169996261597,0,292.367004394531,277.384887695312,8.87909984588623,-0.0586999990046024,9.17230033874512,28.2227993011475,0.0438000001013279,-72495.2622358341,149422.820145631
"35",2,32.6110000610352,24.5223007202148,42.7507019042969,56.3202018737793,1.02530002593994,7.42500019073486,19.3297004699707,25.4367008209229,7.86159992218018,202757.872908669,-492299.469569621
"36",5,24.0986995697021,0,157.501007080078,157.252593994141,3.99340009689331,2.76869988441467,12.274299621582,31.7119007110596,3.30100011825562,-91820.7872436514,100405.268683865
"37",15,22.4286994934082,0,155.848297119141,157.295806884766,4.29759979248047,2.49070000648499,13.0762996673584,31.7872009277344,2.91540002822876,-93660.3212101681,114553.582002226
"38",15,23.7807006835938,0.556999981403351,124.239303588867,127.293800354004,3.42700004577637,3.41330003738403,12.4526996612549,32.7555999755859,4.00439977645874,-100919.249546151,93175.6313936589
"39",2,22.0393009185791,0,213.29670715332,206.435195922852,6.55830001831055,1.6797000169754,12.1752996444702,31.1499996185303,2.00570011138916,-81840.1574818405,121479.36719243
"40",15,23.4577007293701,0.44200000166893,118.781700134277,121.763000488281,3.33319997787476,3.49600005149841,12.5396995544434,32.8064002990723,4.12900018692017,-96398.5858908791,86785.304816585
"41",15,20.7626991271973,0,163.540298461914,162.921005249023,4.5366997718811,2.38129997253418,12.2856998443604,31.5083999633789,2.86339998245239,-82822.3410939455,107380.004979066
"42",15,20.7626991271973,0,163.540298461914,162.921005249023,4.5366997718811,2.38129997253418,12.2856998443604,31.5083999633789,2.86339998245239,-82822.3410939455,107380.004979066
"43",15,23.2712993621826,0.41100001335144,121.621299743652,124.466300964355,3.34559988975525,3.4909999370575,12.5340003967285,32.8730010986328,4.10570001602173,-94628.7809907597,89766.0549452184
"44",15,23.6716995239258,0,149.494705200195,150.158401489258,3.89580011367798,3.38499999046326,12.3102998733521,32.989200592041,3.92899990081787,-89911.4991416076,100717.607290731
"45",15,21.6410007476807,0,156.851303100586,157.388397216797,4.29739999771118,1.96000003814697,12.3427000045776,31.2682991027832,2.48309993743896,-82414.4560227745,105418.517073961
"46",9,NA,NA,110.901702880859,114.449600219727,3.17790007591248,3.72370004653931,12.5043001174927,32.7276000976562,4.33470010757446,-98023.4986659261,84414.5553418645
"47",15,22.5049991607666,0,150.641296386719,149.91780090332,3.97140002250671,2.8403000831604,12.2887001037598,32.2925987243652,3.44510006904602,-92330.0005033584,96720.6073451033
"48",15,23.233699798584,0,170.785705566406,166.147796630859,4.29860019683838,2.45169997215271,12.5907001495361,31.5090999603271,2.90330004692078,-92937.7750250859,108865.52428264
"49",15,15.8590002059937,0,273.525299072266,260.095886230469,8.77560043334961,0.882000029087067,9.71469974517822,28.8199005126953,0.911700010299683,-70043.3979540954,132667.616075977
"50",15,17.4617004394531,0,254.490295410156,240.658996582031,8.30000019073486,0.87830001115799,10.5823001861572,30.2271003723145,1.02989995479584,-73646.8658383276,129198.318618599
"51",2,22.0393009185791,0,213.29670715332,206.435195922852,6.55830001831055,1.6797000169754,12.1752996444702,31.1499996185303,2.00570011138916,-81840.1574818405,121479.36719243
"52",15,22.4286994934082,0,155.848297119141,157.295806884766,4.29759979248047,2.49070000648499,13.0762996673584,31.7872009277344,2.91540002822876,-93660.3212101681,114553.582002226
"53",15,20.7626991271973,0,163.540298461914,162.921005249023,4.5366997718811,2.38129997253418,12.2856998443604,31.5083999633789,2.86339998245239,-82822.3410939455,107380.004979066
"54",7,2.83229994773865,0,179.510299682617,172.055801391602,8.2819995880127,-3.09800004959106,7.51100015640259,30.7299995422363,-2.87059998512268,-76848.9313398717,217459.499285019
"55",15,35.9523010253906,23.6343002319336,44.4076995849609,83.4700012207031,2.28889989852905,7.22569990158081,17.9512996673584,31.5531997680664,7.44509983062744,253024.160286552,-494203.44807151
"56",15,35.9523010253906,23.6343002319336,44.4076995849609,83.4700012207031,2.28889989852905,7.22569990158081,17.9512996673584,31.5531997680664,7.44509983062744,253024.160286552,-494203.44807151
"57",15,35.9523010253906,23.6343002319336,44.4076995849609,83.4700012207031,2.28889989852905,7.22569990158081,17.9512996673584,31.5531997680664,7.44509983062744,253024.160286552,-494203.44807151
"58",15,35.9523010253906,23.6343002319336,44.4076995849609,83.4700012207031,2.28889989852905,7.22569990158081,17.9512996673584,31.5531997680664,7.44509983062744,253024.160286552,-494203.44807151
"59",15,35.9523010253906,23.6343002319336,44.4076995849609,83.4700012207031,2.28889989852905,7.22569990158081,17.9512996673584,31.5531997680664,7.44509983062744,253024.160286552,-494203.44807151
"60",15,35.9523010253906,23.6343002319336,44.4076995849609,83.4700012207031,2.28889989852905,7.22569990158081,17.9512996673584,31.5531997680664,7.44509983062744,253024.160286552,-494203.44807151
"61",15,35.9523010253906,23.6343002319336,44.4076995849609,83.4700012207031,2.28889989852905,7.22569990158081,17.9512996673584,31.5531997680664,7.44509983062744,253024.160286552,-494203.44807151
"62",15,35.9523010253906,23.6343002319336,44.4076995849609,83.4700012207031,2.28889989852905,7.22569990158081,17.9512996673584,31.5531997680664,7.44509983062744,253024.160286552,-494203.44807151
"63",15,35.9523010253906,23.6343002319336,44.4076995849609,83.4700012207031,2.28889989852905,7.22569990158081,17.9512996673584,31.5531997680664,7.44509983062744,253024.160286552,-494203.44807151
"64",15,35.9523010253906,23.6343002319336,44.4076995849609,83.4700012207031,2.28889989852905,7.22569990158081,17.9512996673584,31.5531997680664,7.44509983062744,253024.160286552,-494203.44807151
"65",15,35.564998626709,23.1483001708984,44.3400001525879,83.5419998168945,2.26640009880066,7.16499996185303,17.9676990509033,31.6529006958008,7.417799949646,253265.843665214,-494590.222777361
"66",15,35.564998626709,23.1483001708984,44.3400001525879,83.5419998168945,2.26640009880066,7.16499996185303,17.9676990509033,31.6529006958008,7.417799949646,253265.843665214,-494590.222777361
"67",8,33.5672988891602,24.8526992797852,40.7132987976074,76.280403137207,2.27099990844727,6.82369995117188,18.104700088501,32.0890007019043,7.07420015335083,253923.432092768,-492439.620801912
"68",8,34.1217002868652,14.7087001800537,55.3120002746582,73.443603515625,10.1437997817993,3.65930008888245,16.5673007965088,32.978401184082,3.7564001083374,299402.601955372,-473145.995003804
"69",8,34.1217002868652,14.7087001800537,55.3120002746582,73.443603515625,10.1437997817993,3.65930008888245,16.5673007965088,32.978401184082,3.7564001083374,299402.601955372,-473145.995003804
"70",15,23.2343006134033,1.3157000541687,85.168701171875,93.3280029296875,2.73390007019043,4.07130002975464,12.3732995986938,32.6675987243652,4.74030017852783,-114024.475148613,67234.3780530174
"71",15,23.3939990997314,0.8192999958992,97.6650009155273,109.999298095703,2.67779994010925,3.88529992103577,12.4743003845215,33.2672004699707,4.55569982528687,-103199.851483244,71004.827034934
"72",15,23.3939990997314,0.8192999958992,97.6650009155273,109.999298095703,2.67779994010925,3.88529992103577,12.4743003845215,33.2672004699707,4.55569982528687,-103199.851483244,71004.827034934
"73",15,23.3939990997314,0.8192999958992,97.6650009155273,109.999298095703,2.67779994010925,3.88529992103577,12.4743003845215,33.2672004699707,4.55569982528687,-103199.851483244,71004.827034934
